id_catalog_attribute_option_global_brick	name
867	Shot Glass
868	Shower Curtains
869	Shower Gel
870	Shower Mats
871	Showpiece
872	Shrugs
873	Side Cabinet
874	Side Table
875	Sideboard Cabinet
876	Single Bed
877	Single Bed Mattress
1165	Sipper
1250	Skateboarding Shoes
878	Skater Dress
879	Skates
880	Skates & Skateboards
881	Skating Helmets
882	Skating Scooters
883	Skinny Fit Jeans
1150	SKIRT SETS
884	Skirts
1167	Skivis
885	Sleeping Bags
886	Sleeping Bags & Mats
1223	Sleepwear
887	Sleeve
1257	Sleeveless T-Shirt
1173	Sleeveless T-shirts
1259	Sleevless T-shirts
888	Slice Holder
889	Slim Fit Jeans
890	Sling Bag
891	Slippers
1146	SLIPS
892	Sneakers
893	Snooker/Billiards Table
894	Soap
895	Soccer/Foosball Accessories
896	Soccer/Foosball Table
897	Socks
898	Socks & Stockings
899	Sofa Bed
900	Sofa Covers
901	Sofa Set
902	Soft Strolley
903	Soft Toys
904	Sole Gripping Pad
905	Solids
906	Soup Set
907	Soup Spoon
908	Spa Products
909	Spoon Rest
910	Sports Bag
911	Sports Bra
912	Sports Bras
913	Sports Jerseys
1145	SPORTY SNEAKERS
914	Sprayer
915	Sprays
916	Square
917	Squash Accessories
918	Squash Bags
919	Squash Balls
920	Squash Goggles
921	Squash Grips
922	Squash Rackets
923	Squash Strings
924	Stain Remover
925	Steam & Electric Cookers
926	Stem Glass
927	Stew Pan
928	Stilettos
929	Stockings
930	Stoles
931	Stool
932	Storage Box
933	Storage Cabinet
934	Storage Rack
935	Storage Trolly
936	Straight Fit Jeans
937	Strapless Bra
938	Stretch Marks
939	String
940	Stroller
941	Strolley
942	Stud
943	Study Chairs
944	Study Table
945	Stuffed Articles
946	Stuffed Cushions
947	Sugar Pot
948	Suit Set
949	Suit Sets
950	Suitcase
1227	Suitings & Shirtings
951	Suits
1164	Summer Jackets
952	Sun Care
953	Sunglasses
954	Support Bra
1215	Suspenders
955	Sweat Jackets
956	Sweatbands
957	Sweaters
958	Sweatshirt
959	Sweatshirts
960	Swim Wear
961	Swimming Accessories
962	Swimming Brands
963	Swimming Caps
964	Swimming Ears & Nose Plugs
965	Swimming Fins
966	Swimming Goggles
967	Swimming Kickboards
968	Swimming Kits
969	Swimming Pullbuoy
970	Swimsuit
971	Swimsuits
972	Swimwears
973	Swing
974	T Shirts
1066	T-Shirt Bra
1221	T-SHIRTS
975	Table
976	Table & Chair Kit
977	Table & Chair Set
978	Table Clock
979	Table Cloth
980	Table Lamps
981	Table Linen Sets
982	Table Runners
983	Table Tengolfnis Sets
984	Table Tennis Accessories
985	Table Tennis Arena
986	Table Tennis Bags
987	Table Tennis Balls
988	Table Tennis Bats
989	Table Tennis Blades
990	Table Tennis Covers
991	Table Tennis Glues
992	Table Tennis Kits
993	Table Tennis Nets
994	Table Tennis Rubbers
995	Table Tennis Table
996	Tadka Pan
997	Tandoor
998	Tawa
999	Tea Fork
1000	Tea Light Holder
1001	Tea Pot
1002	Tea Sets
1003	Tea Spoons
1004	Tea/Coffee Maker
1005	Team Jerseys
1006	Teddy Bears
1007	Telescope
